name,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Matchbook
Ecuador,e,1.91,1.91,,1.83,2.0,1.85,2.0,2.0,1.91,,2.05,2.0,,1.9,2.0,1.9,2.0,1.9,1.75,2.0,1.79,1.9,1.79,
Honduras,e,7.5,5.0,,7.0,6.5,8.0,7.0,7.0,6.5,,6.0,6.5,,7.0,5.5,7.0,6.0,8.0,5.0,7.0,,5.27,3.86,
Argentina,f,1.04,1.04,,1.05,1.03,1.01,1.05,1.04,1.02,,1.02,1.05,,1.03,1.03,1.05,1.04,1.01,1.02,1.02,,1.06,,
Bosnia-Herzegovina,f,1.83,1.95,,1.73,1.8,1.6,1.8,1.91,1.83,,1.95,1.73,,1.75,1.83,1.61,1.8,1.85,1.85,2.0,,1.71,1.64,
Nigeria,f,2.38,2.2,,2.25,2.25,2.15,2.38,2.3,2.25,,2.4,2.3,,2.25,2.4,2.5,2.2,2.35,1.95,2.4,,2.04,2.15,
Iran,f,6.0,5.5,,5.5,7.5,8.5,8.0,6.0,6.5,,5.0,6.5,,7.5,5.25,6.0,5.5,6.0,8.0,5.0,,6.32,4.78,
Germany,g,1.11,1.12,,1.14,1.14,1.12,1.1,1.12,1.13,,1.1,1.12,,1.11,1.13,1.14,1.12,1.08,1.08,1.17,1.04,1.11,1.04,
Portugal,g,1.5,1.57,,1.4,1.44,1.3,1.53,1.5,1.5,,1.44,1.5,,1.4,1.5,1.44,1.5,1.5,1.54,1.5,1.3,1.49,1.41,
USA,g,3.6,3.0,,3.5,3.4,3.75,4.0,3.6,3.5,,4.0,3.5,,4.0,3.5,3.25,3.5,3.85,4.0,3.5,,3.57,2.9,
Ghana,g,3.75,4.0,,3.5,4.0,3.6,4.0,3.75,3.75,,4.2,3.5,,3.75,3.5,4.0,3.5,3.75,3.0,3.5,,3.66,3.33,
Belgium,h,1.14,1.2,,1.13,1.17,1.14,1.12,1.2,1.14,,1.11,1.17,,1.16,1.15,1.16,1.15,1.1,1.18,1.11,,1.19,1.09,
Russia,h,1.36,1.5,,1.29,1.4,1.28,1.33,1.4,1.4,,1.5,1.4,,1.4,1.4,1.44,1.4,1.35,1.45,1.53,,1.53,1.37,
South Korea,h,2.88,2.88,,2.62,2.88,3.0,3.0,2.75,2.88,,3.0,2.75,,2.75,2.88,2.75,2.75,2.8,2.3,2.88,,2.63,2.5,
Algeria,h,7.5,4.0,,8.5,5.0,9.0,9.0,5.5,6.0,,5.0,5.5,,6.5,4.75,4.5,5.5,9.0,5.0,5.0,,5.75,3.72,
